quality_rating,waiting_time_rating,store_service_rating,comment_rating,name_store,niche,city
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,excelente a pizza ,Companhia da Pizza,Pizzaria,Cametá
Satisfeito,Muito satisfeito,Muito insatisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,ótima pizza sabores e massa maravilhosos,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito insatisfeito,Muito satisfeito,olha a pizza estava uma delícia mas chegou muito fria tivemos q requentar  poderia vim mas quente sei q pode ter acontecido alguma coisa espero q não se repita,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Neutro,Neutro,Neutro,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Neutro,Neutro,Neutro,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito insatisfeito,Muito insatisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Neutro,Satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,pizza boa demais,Companhia da Pizza,Pizzaria,Cametá
Neutro,Muito satisfeito,Insatisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Satisfeito,Satisfeito,Satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,maravilhosa,Companhia da Pizza,Pizzaria,Cametá
Neutro,Muito insatisfeito,Muito insatisfeito,demorou muito a entrega,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Entregadora muito educada,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Satisfeito,Satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Neutro,Muito insatisfeito,Neutro,Podiam trabalhar com o tempo de previsão sem isso o cliente fica sem saber qual horas vai comer criança e adolescente reclamam,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,ótima pizza e entrega muito rápida,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,pizza deliciosa,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Atendimento invejável,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Insatisfeito,Muito satisfeito,O produto é excelente a loja impecável Porém deixa muito a desejar na entrega tem que rever o tempo nas vezes que pedir via delivery tive que aguardar quase duas horas pra receber o pedido Iria dar uma estrela na entrega porém o entregador é um rapaz humilde humilde educado por isso aumentei para duas,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito insatisfeito,Muito satisfeito,Neutro,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Satisfeito,Muito satisfeito,Muito bom,Companhia da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Caju do Vovô,Sucos Naturais,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Assados Bom Gosto,Restaurante,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Assados Bom Gosto,Restaurante,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Assados Bom Gosto,Restaurante,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Assados Bom Gosto,Restaurante,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Assados Bom Gosto,Restaurante,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Assados Bom Gosto,Restaurante,Cametá
Muito satisfeito,Satisfeito,Muito satisfeito,Sem comentário,Assados Bom Gosto,Restaurante,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,ótimos salgados,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,entregar excelente e sabor dos salgadinhos muito delicioso,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Satisfeito,Muito insatisfeito,Insatisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Insatisfeito,Insatisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Satisfeito,Satisfeito,Satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Satisfeito,Satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Neutro,Neutro,Neutro,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,muito bom obrigada ,Loukitos Doces e Salgados,Salgados,Cametá
Muito insatisfeito,Insatisfeito,Muito insatisfeito,As cozinhas estavam estragadas,Loukitos Doces e Salgados,Salgados,Cametá
Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Insatisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Loukitos Doces e Salgados,Salgados,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,D Chapa,Restaurante,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Entrega super rápida,D Chapa,Restaurante,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,D Chapa,Restaurante,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,D Chapa,Restaurante,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,ótimo atendimento super recomendo,Imperial Delivery da Cerveja,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Imperial Delivery da Cerveja,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Imperial Delivery da Cerveja,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Satisfeito,Muito insatisfeito,Muito insatisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,cobra taxa indevida no uso da maquinha sem prévio aviso,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Satisfeito,Satisfeito,Satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Satisfeito,Satisfeito,Satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Satisfeito,Satisfeito,Satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Neutro,Neutro,Neutro,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Satisfeito,Muito satisfeito,Sem comentário,Brejas Express,Bebidas,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Excelente pizzaria,Pizzaria e Sorveteria Zero Grau,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Pizzaria e Sorveteria Zero Grau,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Pizzaria e Sorveteria Zero Grau,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Pizzaria e Sorveteria Zero Grau,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Pizzaria e Sorveteria Zero Grau,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Pizzaria e Sorveteria Zero Grau,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Pizzaria e Sorveteria Zero Grau,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Pizzaria e Sorveteria Zero Grau,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Pizzaria e Sorveteria Zero Grau,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Pizzaria e Sorveteria Zero Grau,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Pizzaria e Sorveteria Zero Grau,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Pizzaria e Sorveteria Zero Grau,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Pizzaria e Sorveteria Zero Grau,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Pizzaria e Sorveteria Zero Grau,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Pizzaria e Sorveteria Zero Grau,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Pizzaria e Sorveteria Zero Grau,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Pizzaria e Sorveteria Zero Grau,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,entrega rápida,Peixe Luxo,Restaurante,Baião
Muito satisfeito,Muito satisfeito,Muito satisfeito,super indico ,Peixe Luxo,Restaurante,Baião
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Refrigerante bom ,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Pizza barata e deliciosa,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Satisfeito,Neutro,Satisfeito,seria muito bom se tivesse localização em tempo real da entrega  fora isso tudo muito bom,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Satisfeito,Muito satisfeito,Tava uma delícia,Casa da Pizza,Pizzaria,Cametá
Satisfeito,Insatisfeito,Satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito insatisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito insatisfeito,Muito satisfeito,Pizza saborosa massa leve delícia mesmo e o preço melhor ainda rsrsrs,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,ganharam um cliente eu amei,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Uma  delícia Arrasouobrigada,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Muito satisfeito,Muito satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
Satisfeito,Satisfeito,Muito satisfeito,Sem comentário,Casa da Pizza,Pizzaria,Cametá
